month,mean_temp
1960-04,27.0355
1960-05,27.4762
1960-06,27.1711
1960-07,26.5406
1960-08,27.5457
1960-09,26.9694
1960-10,27.1474
1960-11,26.9271
1960-12,26.4203
1961-01,26.1271
1961-02,26.722
1961-03,27.005
1961-04,27.3559
1961-05,27.5423
1961-06,26.9661
1961-07,26.9338
1961-08,27.3033
1961-09,27.1932
1961-10,27.0254
1961-11,26.7271
1961-12,26.3355
1962-01,25.8423
1962-02,26.244
1962-03,26.5101
1962-04,26.9152
1962-05,27.4745
1962-06,26.783
1962-07,26.7525
1962-08,26.1881
1962-09,26.9474
1962-10,27.0338
1962-11,26.7338
1962-12,26.3338
1963-01,25.6966
1963-02,25.7593
1963-03,26.7152
1963-04,27.6084
1963-05,27.7169
1963-06,26.983
1963-07,27.1186
1963-08,27.3271
1963-09,27.405
1963-10,26.7474
1963-11,26.9389
1963-12,26.2508
1964-01,26.744
1964-02,26.3762
1964-03,26.9271
1964-04,27.1152
1964-05,27.6644
1964-06,26.9661
1964-07,25.8271
1964-08,26.9406
1964-09,26.6694
1964-10,26.3593
1964-11,26.7847
1964-12,25.3847
1965-01,25.8288
1965-02,26.4491
1965-03,26.622
1965-04,26.9033
1965-05,27.1745
1965-06,26.9661
1965-07,27.005
1965-08,26.7644
1965-09,26.8627
1965-10,26.6932
1965-11,26.9288
1965-12,26.6966
1966-01,26.2288
1966-02,27.005
1966-03,26.9254
1966-04,27.4813
1966-05,27.7355
1966-06,27.0644
1966-07,26.9
1966-08,27.0338
1966-09,27.3135
1966-10,26.6644
1966-11,26.5457
1966-12,26.422
1967-01,26.0305
1967-02,26.0016
1967-03,26.8067
1967-04,26.9305
1967-05,27.0271
1967-06,27.1644
1967-07,26.5457
1967-08,27.1254
1967-09,26.7694
1967-10,26.8525
1967-11,26.3322
1967-12,25.8338
1968-01,25.944
1968-02,26.7169
1968-03,26.683
1968-04,27.1067
1968-05,26.8355
1968-06,26.6016
1968-07,26.1796
1968-08,26.7423
1968-09,26.7677
1968-10,26.2016
1968-11,26.3355
1968-12,26.0406
1969-01,26.6322
1969-02,26.6762
1969-03,27.0271
1969-04,27.1474
1969-05,27.3152
1969-06,27.0881
1969-07,26.4423
1969-08,26.2338
1969-09,26.9694
1969-10,26.9474
1969-11,26.5694
1969-12,25.8881
1970-01,26.261
1970-02,26.5186
1970-03,27.044
1970-04,26.8694
1970-05,27.0254
1970-06,26.8271
1970-07,26.4779
1970-08,26.5983
1970-09,26.505
1970-10,26.6084
1970-11,26.3627
1970-12,26.244
1971-01,25.3762
1971-02,25.7118
1971-03,26.3322
1971-04,27.3169
1971-05,27.2745
1971-06,26.5813
1971-07,26.3915
1971-08,25.8491
1971-09,26.7016
1971-10,26.6864
1971-11,26.0525
1971-12,25.4101
1972-01,25.644
1972-02,26.2847
1972-03,26.3559
1972-04,26.305
1972-05,27.0033
1972-06,26.9762
1972-07,27.5254
1972-08,26.7864
1972-09,26.6033
1972-10,27.1355
1972-11,26.7864
1972-12,26.2932
1973-01,26.4118
1973-02,26.7966
1973-03,26.7762
1973-04,26.9847
1973-05,26.8237
1973-06,26.8932
1973-07,27.0338
1973-08,26.3389
1973-09,26.1983
1973-10,26.5627
1973-11,26.3728
1973-12,25.4491
1974-01,25.3983
1974-02,25.6796
1974-03,26.1966
1974-04,26.6474
1974-05,26.6389
1974-06,26.305
1974-07,25.9983
1974-08,26.6915
1974-09,25.8728
1974-10,26.6762
1974-11,26.5457
1974-12,26.2338
1975-01,26.2322
1975-02,26.2677
1975-03,26.2627
1975-04,26.9305
1975-05,27.0677
1975-06,26.6033
1975-07,25.7847
1975-08,26.7016
1975-09,26.5864
1975-10,26.5593
1975-11,25.883
1975-12,26.022
1976-01,25.7237
1976-02,26.4593
1976-03,26.6322
1976-04,25.9644
1976-05,27.3033
1976-06,26.8694
1976-07,26.5627
1976-08,26.7644
1976-09,26.8796
1976-10,26.6016
1976-11,26.5389
1976-12,26.1355
1977-01,26.4389
1977-02,25.7288
1977-03,26.6372
1977-04,27.8881
1977-05,27.7254
1977-06,26.9983
1977-07,27.0271
1977-08,26.4745
1977-09,26.8915
1977-10,27.1491
1977-11,26.4898
1977-12,26.6593
1978-01,26.4389
1978-02,26.9813
1978-03,27.3271
1978-04,27.3305
1978-05,27.5627
1978-06,27.0796
1978-07,26.722
1978-08,27.3728
